repo,api_type,response_time_ms,response_size_bytes,num_requests,status,error_message
twbs/bootstrap,GraphQL,2558.0124999396503,36293,1,success,
tensorflow/tensorflow,GraphQL,2920.836400007829,37748,1,success,
microsoft/PowerToys,GraphQL,2739.4169999752194,37903,1,success,
airbnb/javascript,GraphQL,2649.493800010532,36771,1,success,
axios/axios,GraphQL,2706.19189995341,35702,1,success,
donnemartin/system-design-primer,GraphQL,3318.0726999416947,34269,1,success,
angular/angular,GraphQL,2472.235399996862,39210,1,success,
lodash/lodash,GraphQL,2179.919899906963,29265,1,success,
kubernetes/kubernetes,REST,6674.718499998562,2232794,5,success,
vuejs/vue,GraphQL,2217.361700022593,33755,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2982.979499967769,38909,1,success,
rust-lang/rust,REST,6718.984100152738,1762330,5,success,
github/copilot-docs,GraphQL,1711.8707000045106,8432,1,success,
laravel/laravel,REST,5225.012700189836,264152,5,success,
EbookFoundation/free-programming-books,GraphQL,2486.92920000758,30691,1,success,
openai/gpt-3,GraphQL,1209.4887000275776,2300,1,success,
pallets/flask,REST,5784.719000104815,499322,5,success,
pytorch/pytorch,GraphQL,2615.628400002606,40814,1,success,
sindresorhus/awesome,GraphQL,1793.259600060992,22045,1,success,
github/copilot-docs,GraphQL,1998.5531000420451,8432,1,success,
public-apis/public-apis,REST,7384.411999955773,1495073,5,success,
vuejs/vue,REST,6825.200999970548,1445498,5,success,
freeCodeCamp/freeCodeCamp,GraphQL,2375.0439999857917,39005,1,success,
prettier/prettier,GraphQL,2888.701200019568,35429,1,success,
microsoft/vscode,GraphQL,2761.57139998395,37172,1,success,
d3/d3,GraphQL,1733.3881000522524,13936,1,success,
twbs/bootstrap,REST,7120.474399998784,1683361,5,success,
django/django,REST,6510.318600106984,1426344,5,success,
neovim/neovim,REST,6937.328000087291,1484681,5,success,
airbnb/javascript,GraphQL,3541.6377999354154,36779,1,success,
vercel/next.js,REST,6454.878800082952,1567804,5,success,
ohmyzsh/ohmyzsh,REST,7535.813100286759,1638153,5,success,
mrdoob/three.js,GraphQL,2623.20000003092,34732,1,success,
airbnb/javascript,GraphQL,2138.0472999298945,36779,1,success,
codecrafters-io/build-your-own-x,REST,7447.701800032519,1486255,5,success,
TheAlgorithms/Python,REST,6626.144400099292,1643447,5,success,
facebook/react,REST,6455.001500202343,1669860,5,success,
codecrafters-io/build-your-own-x,GraphQL,2512.4558000825346,32838,1,success,
angular/angular,REST,6863.849600194953,1722070,5,success,
torvalds/linux,GraphQL,1491.6565000312403,9691,1,success,
d3/d3,REST,5751.2763001723215,560341,5,success,
axios/axios,REST,6864.7537000942975,1479972,5,success,
jwasham/coding-interview-university,REST,5958.344500046223,761949,5,success,
vercel/next.js,GraphQL,2780.7431999826804,37476,1,success,
MarlinFirmware/Marlin,GraphQL,3079.451199970208,36342,1,success,
TheAlgorithms/Python,REST,7780.84509994369,1643447,5,success,
rust-lang/rust,REST,7847.530899918638,1791194,5,success,
openai/gpt-3,GraphQL,1174.291400006041,2300,1,success,
EbookFoundation/free-programming-books,REST,8206.026600208133,1719236,5,success,
jwasham/coding-interview-university,REST,7720.331700053066,761949,5,success,
github/gitignore,REST,8381.613800069317,1489919,5,success,
nodejs/node,REST,6668.36000001058,1644034,5,success,
public-apis/public-apis,GraphQL,2704.7144999960437,24989,1,success,
vuejs/vue,GraphQL,2009.9384000059217,33755,1,success,
d3/d3,GraphQL,1971.4670000830665,13936,1,success,
kamranahmedse/developer-roadmap,REST,6781.771800015122,1228483,5,success,
torvalds/linux,REST,5001.33080012165,241405,5,success,
facebook/react,GraphQL,2247.6620000088587,38238,1,success,
facebook/react-native,GraphQL,2882.6574999839067,39776,1,success,
golang/go,REST,7217.988699907437,1554652,5,success,
getify/You-Dont-Know-JS,GraphQL,1452.8921000892296,9383,1,success,
vuejs/vue,GraphQL,2055.542099988088,33755,1,success,
mrdoob/three.js,GraphQL,2085.721299983561,34898,1,success,
EbookFoundation/free-programming-books,GraphQL,2262.101500062272,30691,1,success,
facebook/react-native,REST,7538.796199951321,1653912,5,success,
MarlinFirmware/Marlin,GraphQL,2164.235100033693,36506,1,success,
public-apis/public-apis,REST,6430.612699943595,1495073,5,success,
codecrafters-io/build-your-own-x,REST,6914.586800266989,1486255,5,success,
getify/You-Dont-Know-JS,REST,5185.033100075088,284419,5,success,
django/django,GraphQL,2179.593599983491,23947,1,success,
kubernetes/kubernetes,GraphQL,2638.8470000820234,40209,1,success,
airbnb/javascript,REST,7143.927700119093,1376586,5,success,
EbookFoundation/free-programming-books,GraphQL,2308.7650999659672,30691,1,success,
reduxjs/redux,GraphQL,1711.4425000036135,18639,1,success,
jwasham/coding-interview-university,REST,6032.769000041299,761949,5,success,
ohmyzsh/ohmyzsh,GraphQL,3073.811999987811,36010,1,success,
reduxjs/redux,REST,5732.059699832462,563277,5,success,
axios/axios,GraphQL,2658.15329994075,35816,1,success,
donnemartin/system-design-primer,REST,7026.299800025299,1515735,5,success,
codecrafters-io/build-your-own-x,REST,7300.396499922499,1486255,5,success,
rust-lang/rust,GraphQL,2216.990299988538,41622,1,success,
reduxjs/redux,GraphQL,1608.4138998994604,18639,1,success,
trekhleb/javascript-algorithms,GraphQL,3142.1167000662535,34369,1,success,
mrdoob/three.js,GraphQL,2047.1865000436082,34898,1,success,
golang/go,GraphQL,2389.857199974358,37324,1,success,
facebook/jest,GraphQL,4735.242200084031,30545,1,success,
kubernetes/kubernetes,GraphQL,2539.6115999901667,40305,1,success,
huggingface/transformers,GraphQL,2582.048600073904,35950,1,success,
prettier/prettier,REST,6745.821400079876,1595316,5,success,
flutter/flutter,GraphQL,3518.333600019105,41270,1,success,
getify/You-Dont-Know-JS,REST,5783.529399894178,284419,5,success,
django/django,REST,6919.20610005036,1426382,5,success,
sindresorhus/awesome,REST,6708.1719998968765,1480115,5,success,
facebook/react-native,GraphQL,3127.9884000541642,39912,1,success,
golang/go,GraphQL,2272.734700003639,37324,1,success,
NVIDIA/DeepLearningExamples,GraphQL,3671.7522999970242,34555,1,success,
lodash/lodash,REST,6647.68740022555,1077084,5,success,
nodejs/node,GraphQL,3195.5288000172004,38514,1,success,
nodejs/node,GraphQL,3454.5018000062555,38618,1,success,
vuejs/vue,GraphQL,2354.2096000164747,33755,1,success,
freeCodeCamp/freeCodeCamp,GraphQL,2188.133499934338,39005,1,success,
axios/axios,GraphQL,2496.5332000283524,35816,1,success,
github/copilot-docs,REST,6552.205600077286,417328,5,success,
kubernetes/kubernetes,REST,7235.500699724071,2232794,5,success,
vercel/next.js,GraphQL,2699.806999997236,37536,1,success,
donnemartin/system-design-primer,GraphQL,2574.875699938275,34331,1,success,
airbnb/javascript,REST,7163.953299866989,1376586,5,success,
ohmyzsh/ohmyzsh,REST,6628.424999886192,1638153,5,success,
denoland/deno,GraphQL,2659.001399995759,34177,1,success,
flutter/flutter,GraphQL,2680.9716999996454,41374,1,success,
EbookFoundation/free-programming-books,REST,6331.930399988778,1719236,5,success,
angular/angular,GraphQL,1943.4494000161067,39272,1,success,
pytorch/pytorch,GraphQL,3040.859099943191,40820,1,success,
vercel/next.js,GraphQL,2213.6509000556543,37536,1,success,
denoland/deno,REST,6445.575900026597,1422969,5,success,
torvalds/linux,REST,5090.125199989416,241405,5,success,
lodash/lodash,GraphQL,2192.985099973157,29265,1,success,
rust-lang/rust,REST,7124.118499923497,1789783,5,success,
airbnb/javascript,REST,6581.45379985217,1376586,5,success,
d3/d3,REST,5801.262499997392,560341,5,success,
donnemartin/system-design-primer,REST,7689.482799964026,1515735,5,success,
microsoft/vscode,REST,8886.579600046389,1879175,5,success,
airbnb/javascript,REST,7677.495800191537,1376586,5,success,
pallets/flask,GraphQL,1641.2750000599772,11875,1,success,
flutter/flutter,REST,6621.590899885632,1836348,5,success,
sindresorhus/awesome,REST,6300.704899826087,1480115,5,success,
prettier/prettier,GraphQL,2497.655100072734,35519,1,success,
microsoft/PowerToys,REST,7806.997800129466,1965540,5,success,
axios/axios,GraphQL,2274.107199977152,35816,1,success,
donnemartin/system-design-primer,GraphQL,2062.316399998963,34331,1,success,
laravel/laravel,REST,5569.483099970967,264152,5,success,
donnemartin/system-design-primer,REST,6695.415799855255,1515735,5,success,
huggingface/transformers,REST,7765.518400003202,1713990,5,success,
pallets/flask,REST,5368.890800164081,499322,5,success,
TheAlgorithms/Python,REST,5959.897199994884,1643447,5,success,
vercel/next.js,GraphQL,2239.81850000564,37536,1,success,
microsoft/PowerToys,GraphQL,2238.1280000554398,37962,1,success,
github/copilot-docs,REST,6452.619399875402,417328,5,success,
denoland/deno,GraphQL,2415.07890005596,34245,1,success,
getify/You-Dont-Know-JS,GraphQL,1426.3746000360698,9383,1,success,
django/django,REST,6444.034100277349,1426382,5,success,
freeCodeCamp/freeCodeCamp,REST,6350.686699850485,1757225,5,success,
nodejs/node,REST,6577.91079999879,1644984,5,success,
github/gitignore,REST,8608.070399961434,1489919,5,success,
denoland/deno,REST,6395.484699867666,1422969,5,success,
angular/angular,GraphQL,2199.528699973598,39272,1,success,
axios/axios,REST,6625.447999918833,1479972,5,success,
nodejs/node,GraphQL,2403.139999951236,38624,1,success,
angular/angular,GraphQL,4110.747099970467,39272,1,success,
tensorflow/tensorflow,REST,5997.264500008896,1440126,5,success,
axios/axios,REST,6805.774699780159,1479972,5,success,
twbs/bootstrap,GraphQL,2119.86849992536,36293,1,success,
denoland/deno,GraphQL,2352.1455000154674,34245,1,success,
nodejs/node,GraphQL,2175.279200077057,38624,1,success,
denoland/deno,REST,6233.53890015278,1422969,5,success,
TheAlgorithms/Python,GraphQL,2908.138900063932,36083,1,success,
airbnb/javascript,REST,6706.279800040647,1376586,5,success,
codecrafters-io/build-your-own-x,GraphQL,3029.729799949564,32838,1,success,
kubernetes/kubernetes,REST,6341.726099955849,2236738,5,success,
facebook/react-native,REST,6458.055299939588,1653912,5,success,
getify/You-Dont-Know-JS,REST,4840.140600106679,284419,5,success,
flutter/flutter,GraphQL,3009.768099989742,41126,1,success,
rust-lang/rust,GraphQL,2714.8796999827027,41622,1,success,
lodash/lodash,GraphQL,2134.4344000099227,29265,1,success,
NVIDIA/DeepLearningExamples,GraphQL,3106.811000034213,34555,1,success,
TheAlgorithms/Python,GraphQL,2673.7345999572426,36083,1,success,
freeCodeCamp/freeCodeCamp,REST,6659.083999926224,1757225,5,success,
microsoft/PowerToys,GraphQL,3735.6621000217274,37962,1,success,
getify/You-Dont-Know-JS,GraphQL,1314.6785999415442,9383,1,success,
rust-lang/rust,GraphQL,2091.2147000199184,41622,1,success,
freeCodeCamp/freeCodeCamp,REST,6384.22449992504,1757225,5,success,
lodash/lodash,REST,6088.814900023863,1077084,5,success,
axios/axios,REST,6918.792900047265,1479972,5,success,
twbs/bootstrap,REST,6161.442200071178,1683361,5,success,
vuejs/vue,GraphQL,2029.4262999668717,33755,1,success,
openai/gpt-3,REST,5180.28170010075,42841,5,success,
getify/You-Dont-Know-JS,REST,4935.918599832803,284419,5,success,
tensorflow/tensorflow,REST,6026.8349999096245,1440126,5,success,
EbookFoundation/free-programming-books,GraphQL,2577.348699909635,30691,1,success,
neovim/neovim,GraphQL,2559.6130000194535,34588,1,success,
996icu/996.ICU,GraphQL,1255.4143000161275,9342,1,success,
golang/go,REST,6386.0791000770405,1554652,5,success,
torvalds/linux,GraphQL,1270.0661999406293,9691,1,success,
TheAlgorithms/Python,REST,6519.218199886382,1643447,5,success,
laravel/laravel,REST,5359.7552998689935,264152,5,success,
airbnb/javascript,GraphQL,2156.3277000095695,36779,1,success,
github/copilot-docs,REST,6735.760699841194,417328,5,success,
ohmyzsh/ohmyzsh,GraphQL,4297.362399986014,36082,1,success,
mrdoob/three.js,REST,6741.520200041123,1485487,5,success,
pallets/flask,REST,5358.509500045329,499322,5,success,
neovim/neovim,REST,6459.617199958302,1486157,5,success,
TheAlgorithms/Python,GraphQL,2726.118199992925,36083,1,success,
ant-design/ant-design,REST,6917.407100088894,1723705,5,success,
getify/You-Dont-Know-JS,GraphQL,1478.8094999967143,9383,1,success,
prettier/prettier,REST,6312.086099991575,1595316,5,success,
angular/angular,REST,6897.024900070392,1722070,5,success,
tensorflow/tensorflow,GraphQL,2138.1521999137476,37868,1,success,
mrdoob/three.js,GraphQL,1784.3305999413133,34898,1,success,
public-apis/public-apis,GraphQL,2376.509900088422,25023,1,success,
pytorch/pytorch,REST,6555.739000090398,1635979,5,success,
github/copilot-docs,GraphQL,1701.0592001024634,8432,1,success,
facebook/react-native,REST,6875.116300070658,1653288,5,success,
sindresorhus/awesome,GraphQL,1834.9888999946415,22051,1,success,
facebook/react-native,REST,6655.648900079541,1653288,5,success,
TheAlgorithms/Python,REST,6848.542500054464,1643447,5,success,
vuejs/vue,REST,6337.3952999245375,1445498,5,success,
996icu/996.ICU,REST,5093.351999879815,291170,5,success,
facebook/react,GraphQL,1968.1683999951929,38190,1,success,
getify/You-Dont-Know-JS,REST,5076.030900119804,284419,5,success,
microsoft/vscode,GraphQL,2355.4053999250755,37220,1,success,
neovim/neovim,REST,6359.547100029886,1486157,5,success,
facebook/jest,GraphQL,1951.065000030212,30545,1,success,
angular/angular,GraphQL,2357.3169000446796,39302,1,success,
twbs/bootstrap,GraphQL,2041.8358000461012,36293,1,success,
vercel/next.js,REST,6716.13710001111,1567804,5,success,
prettier/prettier,REST,6006.77019986324,1595316,5,success,
microsoft/PowerToys,REST,7392.628000001423,1965540,5,success,
MarlinFirmware/Marlin,REST,8088.403800036758,1639851,5,success,
django/django,GraphQL,2284.806599956937,23995,1,success,
codecrafters-io/build-your-own-x,GraphQL,2723.37330004666,32838,1,success,
996icu/996.ICU,REST,4881.137999938801,291170,5,success,
pallets/flask,REST,6047.631800058298,499322,5,success,
laravel/laravel,REST,5452.593900146894,264152,5,success,
facebook/jest,GraphQL,1986.8998000165448,30545,1,success,
vercel/next.js,REST,6398.409899906255,1567804,5,success,
laravel/laravel,GraphQL,1355.9679000172764,10217,1,success,
NVIDIA/DeepLearningExamples,GraphQL,2652.7550999308005,34555,1,success,
MarlinFirmware/Marlin,GraphQL,1960.6085000559688,36506,1,success,
axios/axios,GraphQL,2186.313800048083,35816,1,success,
lodash/lodash,REST,6194.812100031413,1077084,5,success,
kubernetes/kubernetes,REST,7083.844999899156,2236738,5,success,
MarlinFirmware/Marlin,GraphQL,2264.174700016156,36506,1,success,
public-apis/public-apis,REST,6791.584499878809,1495073,5,success,
airbnb/javascript,GraphQL,2809.6358999609947,36779,1,success,
twbs/bootstrap,REST,6891.830500098877,1683361,5,success,
facebook/jest,REST,7002.417599782348,930395,5,success,
ant-design/ant-design,GraphQL,2797.009800095111,35990,1,success,
vuejs/vue,REST,7204.829900059849,1445498,5,success,
public-apis/public-apis,GraphQL,1880.3253000369295,25023,1,success,
pytorch/pytorch,GraphQL,2865.3107000282034,40960,1,success,
kubernetes/kubernetes,REST,6966.601499938406,2236738,5,success,
jwasham/coding-interview-university,GraphQL,2052.701100008562,22290,1,success,
github/copilot-docs,REST,6563.3770999265835,417328,5,success,
flutter/flutter,REST,6781.26659989357,1837187,5,success,
reduxjs/redux,GraphQL,1406.0323999729007,18639,1,success,
