repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
shadcn-ui/ui,REST,23339.89780009142,1506504,16,4464,4449.0,15.0,,1764271296,success,
codecrafters-io/build-your-own-x,GraphQL,2078.699699981371,22711,1,4930,4929.0,1.0,1.0,2025-11-27T19:06:50Z,success,
n8n-io/n8n,REST,23199.680200050352,1727099,16,4449,4434.0,15.0,,1764271296,success,
microsoft/PowerToys,GraphQL,3200.352699990617,27971,1,4929,4928.0,1.0,1.0,2025-11-27T19:06:50Z,success,
iptv-org/iptv,REST,16093.76360004535,475424,9,4434,4426.0,8.0,,1764271296,success,
langflow-ai/langflow,REST,21749.73599993973,2191882,16,4426,4411.0,15.0,,1764271296,success,
521xueweihan/HelloGitHub,GraphQL,1993.7109999882523,23360,1,4928,4927.0,1.0,1.0,2025-11-27T19:06:50Z,success,
microsoft/TypeScript,REST,22412.791799986735,1758916,16,4411,4396.0,15.0,,1764271296,success,
ohmyzsh/ohmyzsh,GraphQL,2788.076299999375,26581,1,4927,4926.0,1.0,1.0,2025-11-27T19:06:50Z,success,
EbookFoundation/free-programming-books,GraphQL,2199.897000013152,20733,1,4926,4925.0,1.0,1.0,2025-11-27T19:06:50Z,success,
getify/You-Dont-Know-JS,REST,9949.211900064256,300144,8,4396,4389.0,7.0,,1764271296,success,
labuladong/fucking-algorithm,REST,7688.840400020126,242356,6,4389,4384.0,5.0,,1764271296,success,
avelino/awesome-go,REST,23140.67559997784,1762547,16,4384,4369.0,15.0,,1764271296,success,
kamranahmedse/developer-roadmap,GraphQL,2154.8834000132047,25110,1,4925,4924.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vercel/next.js,GraphQL,2690.5510000069626,27780,1,4924,4923.0,1.0,1.0,2025-11-27T19:06:50Z,success,
TheAlgorithms/Python,GraphQL,2887.3998999770265,26803,1,4923,4922.0,1.0,1.0,2025-11-27T19:06:50Z,success,
facebook/create-react-app,REST,21351.15690002567,1576161,16,4369,4354.0,15.0,,1764271296,success,
facebook/create-react-app,GraphQL,2234.97769999085,24531,1,4922,4921.0,1.0,1.0,2025-11-27T19:06:50Z,success,
rustdesk/rustdesk,REST,20237.867200019537,1021835,16,4354,4339.0,15.0,,1764271296,success,
denoland/deno,GraphQL,5101.4988999813795,25133,1,4921,4920.0,1.0,1.0,2025-11-27T19:06:50Z,success,
trimstray/the-book-of-secret-knowledge,REST,22136.727200006135,1632843,16,4339,4324.0,15.0,,1764271296,success,
vuejs/vue,GraphQL,2341.793500003405,24110,1,4920,4919.0,1.0,1.0,2025-11-27T19:06:50Z,success,
massgravel/Microsoft-Activation-Scripts,GraphQL,1638.57349997852,9428,1,4919,4918.0,1.0,1.0,2025-11-27T19:06:50Z,success,
Genymobile/scrcpy,GraphQL,3039.3991000019014,22359,1,4918,4917.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ossu/computer-science,GraphQL,2988.2953999913298,15474,1,4917,4916.0,1.0,1.0,2025-11-27T19:06:50Z,success,
sindresorhus/awesome,REST,23089.309699978912,1582342,16,4324,4309.0,15.0,,1764271296,success,
rustdesk/rustdesk,GraphQL,2453.9441999804694,25358,1,4916,4915.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vercel/next.js,REST,25366.66339999647,1699156,10,4309,,,,1764271296,error,504 Server Error: Gateway Timeout for url: https://api.github.com/repos/vercel/next.js/pulls/86584/reviews
DigitalPlatDev/FreeDomain,REST,15891.207899956498,359151,13,4301,4288.0,13.0,,1764271296,success,
ohmyzsh/ohmyzsh,REST,22084.717299992917,1689202,16,4288,4273.0,15.0,,1764271296,success,
ytdl-org/youtube-dl,GraphQL,2155.50669998629,23405,1,4915,4914.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vinta/awesome-python,REST,22021.780399925774,1471084,16,4273,4258.0,15.0,,1764271296,success,
yt-dlp/yt-dlp,GraphQL,2289.162299974123,25980,1,4914,4913.0,1.0,1.0,2025-11-27T19:06:50Z,success,
goldbergyoni/nodebestpractices,GraphQL,2098.616500006756,19900,1,4913,4912.0,1.0,1.0,2025-11-27T19:06:50Z,success,
massgravel/Microsoft-Activation-Scripts,REST,7204.981100017903,231396,6,4258,4253.0,5.0,,1764271296,success,
godotengine/godot,GraphQL,3271.8876999861095,28741,1,4912,4911.0,1.0,1.0,2025-11-27T19:06:50Z,success,
github/gitignore,REST,31595.89270001743,1518392,16,4253,4238.0,15.0,,1764271296,success,
996icu/996.ICU,REST,12801.57790001249,327666,10,4238,4229.0,9.0,,1764271296,success,
yangshun/tech-interview-handbook,GraphQL,2168.0672999937087,20012,1,4911,4910.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ripienaar/free-for-dev,REST,13900.122699968051,403911,11,4229,4219.0,10.0,,1764271296,success,
freeCodeCamp/freeCodeCamp,REST,22868.13409993192,1719474,16,4219,4204.0,15.0,,1764271296,success,
codecrafters-io/build-your-own-x,REST,21219.294099981198,1510056,16,4204,4189.0,15.0,,1764271296,success,
excalidraw/excalidraw,REST,22737.086500041187,1653296,16,4189,4174.0,15.0,,1764271296,success,
flutter/flutter,GraphQL,3243.3812000090256,32670,1,4910,4909.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jackfrued/Python-100-Days,GraphQL,2052.0391000027303,20867,1,4909,4908.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ytdl-org/youtube-dl,REST,22133.329699980095,1634363,16,4174,4159.0,15.0,,1764271296,success,
